id,name,place,start_date,end_date,category
1,1st Meze Workshop,Camaldoli; Italy,26/1/2013,26/1/2013,workshop
2,2nd Meze Workshop,Forli'; Italy,27/7/2013,27/7/2013,workshop
3,3rd Meze Workshop,Ridracoli; Italy,10/10/15,10/10/15,workshop
4,In the kitchen beyond borders,S. Arcangelo in Romagna,26/6/2016,26/6/2016,workshop
5,From improvised dishes to improvised stories,Bedollo; Italy,18/11/2016,19/11/2016,workshop
6,Cook with us in Kalamata,Kalamata; Grece,12/08/2016,12/11/2016,workshop
7,End of summer in Pinarella,Pinarella; Italy,30/9/2017,30/9/2017,workshop
8,Berlin multi-cooking jam,Berlin; Germany,05/06/2017,05/07/2017,workshop
9,xMas is coming,Ravenna; Italy,17/12/2017,17/12/2017,workshop
10,1st CusCus Workshop,Trento;Italy,17/2/2018,17/2/2018,workshop
11,2nd CusCus Workshop,Trento;Italy,17/3/2018,17/3/2018,workshop
