ingredient_id,name,properties,allergene
1,almond,__vegetarian__vegan__,
2,anchovy,,
3,aneto,__vegetarian__vegan__,
4,anise for dessert,__vegetarian__vegan__,
5,apple cider vinegar,__vegetarian__vegan__,
6,avocado,__vegetarian__vegan__,
7,baby chard,__vegetarian__vegan__,
8,baking powder,__vegetarian__vegan__,
9,baking soda,__vegetarian__vegan__,
10,banana,__vegetarian__vegan__,
11,basil,__vegetarian__vegan__,
12,basil leaf,__vegetarian__vegan__,
13,basmati rice,__vegetarian__vegan__,__gluten__
14,bay leaf,__vegetarian__vegan__,
15,beef meat,,
16,bell pepper,__vegetarian__vegan__,
17,black cardamom,__vegetarian__vegan__,
18,black olive,__vegetarian__vegan__,
19,black pepper,__vegetarian__vegan__,
20,black pepper seed,__vegetarian__vegan__,
21,black-eyed pea,__vegetarian__vegan__,
22,boiled chickpea,__vegetarian__vegan__,
23,boneless chicken thigh,,
24,breadcrumb,__vegetarian__vegan__,__gluten__
25,brown mustard seed,__vegetarian__vegan__,
26,brown sugar,__vegetarian__vegan__,
27,bulgur,__vegetarian__vegan__,__gluten__
28,butter,__vegetarian__,__lactose__
29,cabbage,__vegetarian__vegan__,
30,calamari,,
31,caper,__vegetarian__vegan__,
32,carrot,__vegetarian__vegan__,
33,cashew,__vegetarian__vegan__,
34,celery root,__vegetarian__vegan__,
35,chaat masala,__vegetarian__vegan__,
36,champignon mushroom,__vegetarian__vegan__,
37,cherry in sirup,__vegetarian__vegan__,
38,cherry sirup,__vegetarian__vegan__,
39,cherry tomato,__vegetarian__vegan__,
40,chicken,,
41,chicken breast,,
42,chicken leg,,
43,chicken thigh,,
44,chickpea,__vegetarian__vegan__,
45,chickpea flour,__vegetarian__vegan__,
46,chili powder,__vegetarian__vegan__,
47,chives,__vegetarian__vegan__,
48,cilantro,__vegetarian__vegan__,
49,cinnamon,__vegetarian__vegan__,
50,cinnamon powder,__vegetarian__vegan__,
51,cinnamon stick,__vegetarian__vegan__,
52,clove,__vegetarian__vegan__,
53,coconut,__vegetarian__vegan__,
54,coconut milk,__vegetarian__vegan__,
55,concentrated tomato paste,__vegetarian__vegan__,
56,coriander,__vegetarian__vegan__,
57,coriander powder,__vegetarian__vegan__,
