recipe_id,ingredient,quantity,unit_of_measure,preparation_technique,alternate_ingredient,alternate_quantity
1,corn oil,1,glass,,,
1,eggplant,2,unit,peeled; diced,,
1,extra-virgin olive oil,2,spoon,,,
1,garlic,3,clove,smashed,,
1,parsley,20,gr,chopped,,
1,potato,2,unit,peeled; diced,,
1,salt,,,,,
1,sugar,1,small spoon,,,
1,tomato,4,unit,peeled; diced,,
1,zucchini,2,unit,diced,,
2,dry mint,1,small spoon,,,
2,extra-virgin olive oil,0.5,glass,,,
2,feta cheese,1,glass,crumbled,,
2,garlic,3,clove,smashed,,
2,greek yogurt,200,gr,,,
2,chili powder,0.5,small spoon,,,
2,salt,,,,,
2,white yogurt,500,gr,,,
3,eggplant,2,unit,,,
3,extra-virgin olive oil,4,spoon,,,
3,garlic,3,clove,smashed,,
3,lemon,1,unit,juiced,,
3,parsley,1,bunch,chopped,,
3,salt,,,,,
3,green onion,2,unit,chopped,,
3,tomato,3,unit,diced,,
4,extra-virgin olive oil,0.5,glass,,,
4,garlic,3,clove,smashed,,
4,greek yogurt,200,gr,,,
4,isot pepper,1,spoon,,,
4,onion,1,unit,chopped,,
4,salt,,,,,
4,walnut,150,gr,small pieces,,
4,white yogurt,500,gr,,,
4,zucchini,5,unit,grated; drained,,
5,black olive,12,unit,,,
5,cherry tomato,10,unit,split in two,,
5,extra-virgin olive oil,0.5,glass,,,
5,kidney bean,3,glass,boiled,,
5,lemon,1,unit,juiced,,
5,parsley,0.5,bunch,thin chopped,,
5,ground black pepper,,,,,
5,red onion,2,unit,thin chopped,,
5,salt,,,,,
5,small green pepper,2,unit,thin chopped,,
5,sumak,1,small spoon,,,
6,ground black pepper,0.5,small spoon,,,
6,extra-virgin olive oil,3,spoon,,,
6,feta cheese,4,spoon,crumbled,,
6,green onion leaf,12,unit,softened in warm water,,
6,parsley,0.5,bunch,thin chopped,,
6,chili powder,0.25,small spoon,,,
6,red bell pepper,8,unit,,,
6,ricotta cheese,1,glass,,,
6,salt,,,,,
6,walnut,0.5,glass,crumbled,,
7,extra-virgin olive oil,0.5,glass,,,
7,garlic,3,clove,smashed,,
7,turkish pepper paste,1,spoon,,,
7,onion,1,unit,thin chopped,,
7,parsley,1,bunch,thin chopped,,
7,pomegranate sauce,3,spoon,,,
7,salt,0.25,small spoon,,,
7,small green pepper,3,unit,thin chopped,,
7,tomato,8,unit,thin diced,,
8,chickpea,3,glass,boiled,,
8,ground cumin,0.25,small spoon,,,
8,extra-virgin olive oil,0.7,glass,,,
8,garlic,3,clove,smashed,,
8,lemon juice,0.5,glass,,,
8,paprika,0.25,small spoon,,,
8,salt,0.5,spoon,,,
8,tahini,2,spoon,,,
9,ground black pepper,0.5,small spoon,,,
9,chicken leg,2,unit,,,
9,chicken thigh,2,unit,,,
9,corn oil,2,spoon,,,
9,garlic,4,clove,smashed,,
9,isot pepper,0.5,small spoon,,,
9,chili powder,0.5,small spoon,,,
9,salt,,,,,
9,stale bread,4,slice,,,
9,walnut,1,glass,crumbled,,
10,ground cumin,0.5,small spoon,,,
10,extra-virgin olive oil,1,spoon,,,
10,garlic,2,clove,smashed,,
10,paprika,0.5,small spoon,,,
10,ricotta cheese,250,gr,,,
10,salt,,,,,
10,turkish pepper paste,1,spoon,,,
10,walnut,4,spoon,finely crumbled,,
11,eggplant,2,unit,,,
