id,name,link,preparation_time_minutes,persons,difficulty,countries,place_of_origin,is_from_latitude,is_from_longitude,category,main_ingredient,cooking_technique,is_vegetarian,is_vegan,is_gluten_free,is_lactose_free
1,sauteed eggplants (shakshuka),turkey/shakshuka,30,4,3,turkey,turkey,,,main,eggplant,pan-fried,TRUE,TRUE,TRUE,TRUE
2,mint dip (haydari),turkey/haydari,5,4,1,turkey,turkey,,,entrée,yogurt,raw,TRUE,FALSE,TRUE,FALSE
3,roasted eggplant salad,turkey/turkish-roasted-eggplant-salad,40,4,2,turkey,turkey,,,entrée,eggplant,roasted,TRUE,TRUE,TRUE,TRUE
4,zucchini salad,turkey/kabak-salatasi,30,4,2,turkey,turkey,,,entrée,zucchini,pan-fried,TRUE,FALSE,TRUE,FALSE
5,kidney bean salad,turkey/piyaz,15,4,1,turkey,turkey,,,entrée,bean,boiled,TRUE,TRUE,TRUE,TRUE
6,roasted pepper rolls with cheese,turkey/peynirli-koz-biber,50,4,4,turkey,turkey,,,main,pepper,roasted,TRUE,FALSE,TRUE,FALSE
7,spoon salad,turkey/kasik-salatasi,30,4,1,turkey,turkey,,,entrée,tomato,raw,TRUE,TRUE,TRUE,TRUE
8,chickpeas dip (hummus),middle-east/hummus,15,4,1,"egypt, lebanon",middle east,,,entrée,chickpea,boiled,TRUE,TRUE,TRUE,TRUE
9,circassian chicken,russia/cerkez-tavugu,60,4,3,russia,russia,,,main,chicken,boiled,FALSE,FALSE,FALSE,TRUE
10,cretan paste,turkey/girit-ezmesi,5,4,1,turkey,turkey,,,entrée,ricotta cheese,raw,TRUE,FALSE,TRUE,FALSE
11,eggplants dip (babaganoush),middle-east/babaganoush,30,4,2,"egypt, lebanon",middle east,,,entrée,eggplant,roasted,TRUE,FALSE,TRUE,FALSE
12,spinach phyllo pastry (borek),middle-east/ispanakli-borek,60,4,4,"egypt, lebanon",middle east,,,main,spinach,baked,TRUE,FALSE,FALSE,FALSE
13,hot vegetarian burgers (yalanci cig kofte),turkey/yalanci-cig-kofte,60,4,4,turkey,turkey,,,main,bulgur,almost raw,TRUE,FALSE,FALSE,TRUE
14,cheese stuffed mushrooms,turkey/firinda-kasarli-mantar,30,4,2,turkey,turkey,,,entrée,mushroom,baked,TRUE,FALSE,TRUE,FALSE
15,root celery salad,turkey/turkish-root-celery-salad,20,4,1,turkey,turkey,,,entrée,root celery,raw,TRUE,FALSE,TRUE,FALSE
16,shrimp salad,turkey/karides-salatasi,30,4,2,turkey,turkey,,,entrée,shrimp,pan-fried,FALSE,FALSE,TRUE,TRUE
17,zucchini burger (kolokithokeftedes),greece/kolokithokeftedes,40,4,4,greece,greece,,,main,zucchini,fried,TRUE,FALSE,FALSE,FALSE
18,hot feta dip (tirokafteri),greece/tirokafteri,15,4,2,greece,greece,,,entrée,feta cheese,pan-fried,TRUE,FALSE,TRUE,FALSE
19,rhum cake,turkey/rum-tatlisi,40,4,2,turkey,turkey,,,dessert,coconut,baked,TRUE,FALSE,FALSE,TRUE
20,falafel,middle-east/falafel,60,4,3,"egypt, lebanon",middle east,,,main,chickpea,fried,TRUE,TRUE,FALSE,TRUE
21,indian style okra,india/bhindi,40,4,3,india,india,,,main,okra,pan-fried,TRUE,TRUE,TRUE,TRUE
22,chicken curry,pakistan/chicken-curry,50,5,3,pakistan,pakistan,,,main,chicken,pan-fried,FALSE,FALSE,TRUE,TRUE
23,pakistani style rice (channa pulao),pakistan/channa-pulao,40,5,3,pakistan,pakistan,,,main,rice,boiled,TRUE,TRUE,TRUE,TRUE
24,lamb skewers with vegetables,mediterranean-area/sebzeli-kuzu-sis,40,10,3,"greece, italy",mediterranean,,,main,lamb,baked,FALSE,FALSE,TRUE,FALSE
25,carrot dip (tarator),turkey/turkish-carrot-dip,20,4,2,turkey,turkey,,,entrée,carrot,pan-fried,TRUE,FALSE,TRUE,FALSE
26,baked eggplants with cheese,turkey/firinda-peynirli-karniyarik,40,5,3,turkey,turkey,,,main,eggplant,baked,TRUE,FALSE,TRUE,FALSE
27,tomato baskets with cheese,turkey/peynirly-domates-sepeti,30,6,2,turkey,turkey,,,entrée,tomato,raw,TRUE,FALSE,TRUE,FALSE
28,curry sauced shrimps,thailand/curry-sauced-shrimps,40,6,3,thailand,thailand,,,main,shrimp,pan-fried,FALSE,FALSE,TRUE,TRUE
29,kebap with pistachios and fresh basil,turkey/fistikli-reyhanli-kebap,60,8,3,turkey,turkey,,,main,"beef meat, lamb meat",baked,FALSE,FALSE,TRUE,TRUE
30,greek style mussels in red sauce (mydia saganaki),greece/midia-saganaki,40,4,3,greece,greece,,,main,mussel,pan-fried,FALSE,FALSE,TRUE,FALSE
31,cretan style stuffed calamari,greece/kalamaria-gemista,90,6,4,greece,greece,,,main,calamari,baked,FALSE,FALSE,TRUE,TRUE
32,crescione romagnolo with samosa filling,world-fusion/crescione-romagnolo-with-samosa-filling,90,5,4,,fusion,,,main,"spelt flour, potato",baked,TRUE,TRUE,FALSE,TRUE
33,armenian eggplant,armenia/armenian-style-eggplants,40,4,3,armenia,armenia,,,entrée,eggplant,baked,TRUE,TRUE,TRUE,TRUE
34,armenian phyllo pastry,armenia/armenian-style-boreg,60,6,3,armenia,armenia,,,main,muenster cheese,baked,TRUE,FALSE,FALSE,FALSE
35,walnut mushroom taco,mexico/walnut-mushroom-taco,30,4,2,mexico,mexico,,,entrée,"walnut, mushroom",almost raw,TRUE,TRUE,FALSE,TRUE
36,carrot ribbons,world-fusion/carrot-ribbons,40,4,3,,fusion,,,entrée,carrot,raw,TRUE,TRUE,TRUE,TRUE
37,spinach cheese,world-fusion/spinach-cheese,20,4,2,,fusion,,,entrée,"spinach, cashew",raw,TRUE,TRUE,TRUE,TRUE
38,pumpkin noodles,world-fusion/pumpkin-noodles,20,4,2,,fusion,,,entrée,pumpkin,raw,TRUE,TRUE,TRUE,TRUE
39,thai chicken in green curry,thailand/thai-chicken-in-green-curry,40,8,3,thailand,thailand,,,main,chicken,boiled,FALSE,FALSE,TRUE,TRUE
40,indonesian rice,indonesia/indonesian-rice,60,10,3,indonesia,indonesia,,,side dish,rice,boiled,TRUE,TRUE,TRUE,TRUE
41,vegetable cous cous,morocco/vegetable-cous-cous,80,8,3,morocco,morocco,,,main,"cous cous, sweet potato",boiled,TRUE,TRUE,FALSE,TRUE
42,guacamole,mexico/guacamole,15,4,1,mexico,mexico,,,entrée,avocado,raw,TRUE,TRUE,TRUE,TRUE
43,morcilla de verano,spain/morcilla-de-verano,30,4,3,spain,spain,,,entrée,eggplant,roasted,TRUE,TRUE,TRUE,TRUE
44,swans of lake Sarmasi (lahana sarmasi),turkey/turkish-swans-of-lake-sarmasi,90,6,4,turkey,turkey,,,main,cabbage,boiled,TRUE,FALSE,FALSE,FALSE
