english,italian,table_1,column_1,table_2,column_2,table_3,column_3,table_4,column_4
1st Meze Workshop,Primo Seminario sui Meze,,,,,,,,
2nd Meze Workshop,Secondo Seminario sui Meze,,,,,,,,
3rd Meze Workshop,Terzo Seminario sui Meze,,,,,,,,
afghanistan,afghanistan,Recipe,Place_of_origin,,,,,,
ajoblanco,Ajoblanco,Recipe,Name,,,,,,
alcohol,Alcolici,Ingredients,Ingredient_class,,,,,,
almond,mandorle,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
almost raw,quasi crudista,Recipe,Cooking_Technique,,,,,,
anchovy,acciughe,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
aneto,aneto,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
anise for dessert,anice per dolci,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
apple cider vinegar,aceto di mele,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
argentina,argentina,Recipe,Place_of_origin,,,,,,
armenia,armenia,Recipe,Place_of_origin,,,,,,
armenian eggplant,Melanzane alla armena,Recipe,Name,,,,,,
armenian phyllo pastry,Sfoglia alla armena,Recipe,Name,,,,,,
armenian stuffed pumpkin (ghapama),Zucca ripiena alla armena (ghapama),Recipe,Name,,,,,,
avocado,avocado,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
baby chard,cardi,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
baked,al forno,Recipe,Cooking_Technique,,,,,,
baked eggplants with cheese,Melanzane al forno con formaggio,Recipe,Name,,,,,,
Baked mix peppers,Peperoni al forno,Recipe,Name,,,,,,
bakery,Panetteria,Ingredients,Ingredient_class,,,,,,
baking powder,lievito in polvere,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
baking soda,bicarbonato,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
baking tray,vassoio da cottura,RecipeTools,Tool_Name,,,,,,
balsamic vinegar,aceto balsamico,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
banana,banane,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
bangladesh,bangladesh,Recipe,Place_of_origin,,,,,,
barbecue,barbecue,RecipeTools,Tool_Name,,,,,,
basil leaf,foglie di basilico,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
basmati rice,riso basmati,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
bay leaf,alloro,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
bean,fagioli,Recipe,Main_ingredient,,,,,,
beef meat,carne di manzo,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
beef meat; lamb meat,manzo; agnello,Recipe,Main_ingredient,,,,,,
beef meat; rice,manzo; riso,Recipe,Main_ingredient,,,,,,
beef meat; semolina,manzo; semolino,Recipe,Main_ingredient,,,,,,
bell pepper,peperoni,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
Birani,Birani,Recipe,Name,,,,,,
black cardamom,cardamomo nero,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
black olive,olive nere,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
ground black pepper,pepe nero in polvere,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
black pepper seed,pepe nero in semi,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
black-eyed pea,fagioli dall'occchio nero,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
blender,tritatutto,RecipeTools,Tool_Name,,,,,,
boiled,bollito,Recipe,Cooking_Technique,RecipeIngredients,Preparation_technique,,,,
boiled chickpea,ceci bolliti,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
boiled; peeled; smashed,bollito; pelato; schiacciato,RecipeIngredients,Preparation_technique,,,,,,
boiling,in ebollizione,RecipeIngredients,Preparation_technique,,,,,,
boneless chicken thigh,cosce di pollo disossate,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
bottle,bottiglia,RecipeIngredients,Unit_of_measure,,,,,,
bowl,ciotola,RecipeTools,Tool_Name,,,,,,
brazil,brasile,Recipe,Place_of_origin,,,,,,
breadcrumb,briciole di pane,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
brown mustard seed,semi di mostarda scura,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
brown sugar,zucchero di canna,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
bulgur,bulgur,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
bunch,mazzo,RecipeIngredients,Unit_of_measure,,,,,,
butter,burro,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
cabbage,cavolo,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
cake pan,padella per torte,RecipeTools,Tool_Name,,,,,,
calamari,calamari,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
can,lattina,RecipeIngredients,Unit_of_measure,,,,,,
canned fruit,Frutta in scatola,Ingredients,Ingredient_class,,,,,,
canned items,Lattine,Ingredients,Ingredient_class,,,,,,
caper,capperi,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,,
carrot,carote,RecipeIngredients,Ingredient,RecipeIngredients,Alternate ingredient,Ingredients,Ingredient,Recipe,Main_ingredient
carrot dip (tarator),Crema di carote (tarator),Recipe,Name,,,,,,
carrot dip with bell pepper (biberli tarator),Crema di carote ai peperoni (biberli tarator),Recipe,Name,,,,,,
carrot ribbons,Nastri di carote,Recipe,Name,,,,,,
carrot; bell pepper,carote; peperoni,Recipe,Main_ingredient,,,,,,
